,MAXMES,MAXSES,TDEPTH,TDUR,TEPOCH,TPERIOD,TSNR,n_det,rmsCdpp,sector,sectors,is_toi,toi,toi_disp,TID,ID,MH,Teff,Tmag,contratio,d,dec,gallat,gallong,logg,mass,objType,pmDEC,pmRA,ra,rad,rho
000030275662_00_01,8.773367881774902,3.723576545715332,3536.0893831229573,4.999713237867202,1325.3123137226246,0.5975429846478671,16.291345596313473,0,,1.0,[[1]],0.0,0.0,0.0,30275662,30275662.0,,8785.0,11.737,0.235786125,1372.27,-66.497773,-36.081092,277.301916,4.07966,2.2066790000000003,STAR,-1.57289,0.517807,74.097924,2.2452,0.194972
000079247714_00_01,8.734060287475586,3.890820264816284,461.2914114395088,0.7735435790975562,1325.3426957347162,0.2611280332262635,10.113100051879883,0,,1.0,[[1]],0.0,0.0,0.0,79247714,79247714.0,,6192.0,10.158,0.222966418,190.58316000000002,-50.380106,-42.722484,348.104649,4.40374,1.1865700000000001,STAR,24.8732,12.2683,318.066927,1.13368,0.8143699999999999
000079247714_01_01,12.311308860778807,4.084671497344972,964.9884617270708,1.3140332474080891,1325.4840273071875,0.2609389345501702,19.63186836242676,1,,1.0,[[1]],0.0,0.0,0.0,79247714,79247714.0,,6192.0,10.158,0.222966418,190.58316000000002,-50.380106,-42.722484,348.104649,4.40374,1.1865700000000001,STAR,24.8732,12.2683,318.066927,1.13368,0.8143699999999999
000272357134_00_01,235.01084899902344,106.18531036376952,17082.916002790047,5.809690059491551,1328.5485141568945,4.1969803861677715,242.4859771728516,0,,1.0,[[1]],0.0,0.0,0.0,272357134,272357134.0,,6538.96,8.519,0.0007234975,169.732025,-73.473114,-21.391112,285.909398,,1.4733,STAR,-9.230939999999999,-0.280114,119.47959099999999,2.35055,0.113444
000272357134_01_01,12.959404945373535,6.520410060882568,1053.9637820910043,5.747629482967987,1326.8272317772285,4.196299138154101,16.312191009521484,1,,1.0,[[1]],0.0,0.0,0.0,272357134,272357134.0,,6538.96,8.519,0.0007234975,169.732025,-73.473114,-21.391112,285.909398,,1.4733,STAR,-9.230939999999999,-0.280114,119.47959099999999,2.35055,0.113444
000029430495_00_01,18.210588455200195,18.92855262756348,2461.482765037669,2.2417128459356106,1329.0582334326316,14.624142198584487,17.06279182434082,0,,1.0,[[1]],0.0,0.0,0.0,29430495,29430495.0,-0.69,6253.2,9.992,0.004129179,148.385559,-29.681921000000003,-38.391604,15.238588,4.54,1.03331,STAR,-68.4462,186.763,313.600813,0.903085,1.40296
000029430495_01_01,10.795669555664062,10.90689468383789,1784.7961641844165,2.0374561837441347,1328.828239695337,15.313209602366516,10.425543785095217,1,,1.0,[[1]],0.0,0.0,0.0,29430495,29430495.0,-0.69,6253.2,9.992,0.004129179,148.385559,-29.681921000000003,-38.391604,15.238588,4.54,1.03331,STAR,-68.4462,186.763,313.600813,0.903085,1.40296
000029430495_02_01,9.460980415344238,10.25212287902832,911.9264356626344,8.666074725548407,1331.5281339809576,11.276874991191569,10.162477493286133,2,,1.0,[[1]],0.0,0.0,0.0,29430495,29430495.0,-0.69,6253.2,9.992,0.004129179,148.385559,-29.681921000000003,-38.391604,15.238588,4.54,1.03331,STAR,-68.4462,186.763,313.600813,0.903085,1.40296
000300244770_00_01,33.753246307373054,41.14589309692383,423.70461470105215,11.533978952808962,1327.1019263535845,11.215063845006213,6.437157154083253,0,,1.0,[[1]],0.0,0.0,0.0,300244770,300244770.0,,3168.0,4.965,0.00033093913200000005,388.467865,-67.18751400000001,-22.244065,278.36152000000004,,,STAR,48.5874,13.1811,109.811099,,
000219118940_00_01,8.512273788452147,2.357995748519897,459.14382852621765,0.5949043901773166,1325.4851167074485,0.202396126893906,9.009501457214355,0,,1.0,[[1]],0.0,0.0,0.0,219118940,219118940.0,,7172.0,9.187999999999999,0.3437973,231.82588199999998,-57.839769999999994,-51.673864,330.590592,4.1626199999999995,1.6023,STAR,18.3807,11.0884,340.120363,1.7389,0.304733
